Supplementary Table І,,,,,,,,,,,,,,,,,,
Detailed Informaion of Materials,,,,,,,,,,,,,,,,,,
No.,Chemical composition (wt%),,,,,,,Fabrication Processes,,,,,,,,,,
,Zn,Mg,Cu,Zr,Ti,Fe,Si,Casting Types,,Homogenization (℃/h),Extrusion,Solution Treatment (℃/h),Aging (℃/h),Tensile properties,,,Remarks,Specimens
,,,,,,,,Permanent mold,Billet,,O/X,,,YS (MPa),TS (MPa),EL (%),,
96,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,530,551,7.8 ,,
97,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,477,551,15.1 ,,
98,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,480,552,14.1 ,,
99,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,479,519,5.3 ,,
100,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,499,540,10.4 ,,
101,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,501,543,12.1 ,,
102,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,497,540,12.1 ,,
103,6.00 ,2.00 ,1.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,477,522,9.5 ,,
104,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,,140,330,33.3 ,,
105,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,,141,328,33.5 ,,
106,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,,147,331,35.0 ,,
107,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,,159,349,34.0 ,,
108,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,,162,353,34.4 ,,
109,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,495,554,17.0 ,,
110,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,498,557,15.1 ,,
111,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,495,556,16.9 ,,
112,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,496,555,17.6 ,,
113,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,120/24,500,561,15.5 ,,
114,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,514,543,10.1 ,,
115,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,507,536,11.8 ,,
116,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,513,542,13.3 ,,
117,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,508,538,6.6 ,,
118,7.00 ,2.00 ,0.50 ,-,0.030 ,-,-,,O,,X,470/24,150/8,547,580,12.8 ,,
119,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,,,260,353,3.6 ,KIMS,7068
120,7.48 ,2.67 ,1.99 ,0.002 ,0.028 ,0.170 ,0.041 ,,O,,X,,,260,356,3.9 ,KIMS,7068
